Card Name,Win Percentage,Win Percentage Diff,Games Played
Mindbreak Trap,22.78%,-1.59%,180
Bloodstained Mire,22.73%,-1.65%,154
Planebound Accomplice,22.73%,-1.65%,22
Flusterstorm,22.67%,-1.70%,172
"Skrelv, Defector Mite",22.67%,-1.71%,150
Veil of Summer,22.58%,-1.79%,31
Deafening Silence,22.58%,-1.79%,62
Felidar Guardian,22.50%,-1.87%,40
Pact of Negation,22.39%,-1.98%,67
Mystical Tutor,22.22%,-2.15%,27
Chain of Vapor,22.22%,-2.15%,27
Delighted Halfling,22.09%,-2.28%,86
Imperial Seal,22.02%,-2.35%,109
Forbidden Orchard,21.94%,-2.43%,196
Fire Covenant,21.88%,-2.50%,64
Ioreth of the Healing House,21.88%,-2.50%,32
"Magda, Brazen Outlaw",21.74%,-2.63%,23
Spellseeker,21.62%,-2.75%,37
Archivist of Oghma,21.43%,-2.94%,14
Orcish Bowmasters,21.37%,-3.01%,117
Plaza of Heroes,21.28%,-3.10%,141
Ranger-Captain of Eos,21.25%,-3.12%,80
Wrenn and Six,21.21%,-3.16%,33
"Najeela, the Blade-Blossom",21.05%,-3.32%,38
Force of Negation,21.05%,-3.32%,38
Thassa's Oracle,20.97%,-3.41%,62
Tainted Pact,20.97%,-3.41%,62
Cyclonic Rift,20.57%,-3.81%,141
"Minamo, School at Water's Edge",20.41%,-3.96%,49
Phantasmal Image,20.34%,-4.03%,59
Dispel,20.00%,-4.37%,25
"Thrasios, Triton Hero",20.00%,-4.37%,10
Grand Abolisher,20.00%,-4.37%,25
Avacyn's Pilgrim,20.00%,-4.37%,45
"Jirina, Dauntless General",20.00%,-4.37%,45
"Domri, Anarch of Bolas",20.00%,-4.37%,10
"Sygg, River Cutthroat",20.00%,-4.37%,15
Eldritch Evolution,19.80%,-4.57%,101
Chromatic Orrery,19.32%,-5.05%,88
Drana and Linvala,18.75%,-5.62%,96
"Kiki-Jiki, Mirror Breaker",18.75%,-5.62%,32
Force of Vigor,18.75%,-5.62%,16
Corridor Monitor,18.52%,-5.85%,27
Survival of the Fittest,18.52%,-5.85%,27
Deceiver Exarch,18.52%,-5.85%,27
Karmic Guide,18.52%,-5.85%,27
Vivien on the Hunt,18.52%,-5.85%,27
Birthing Pod,18.52%,-5.85%,27
Stern Scolding,18.42%,-5.95%,38
Deadly Rollick,18.18%,-6.19%,44
Tezzeret the Seeker,18.18%,-6.19%,33
"Teferi, Who Slows the Sunset",18.18%,-6.19%,11
Orochi Leafcaller,18.18%,-6.19%,11
Llanowar Elves,18.18%,-6.19%,11
"Narset, Parter of Veils",18.18%,-6.19%,11
Fyndhorn Elves,18.18%,-6.19%,11
Green Sun's Zenith,18.18%,-6.19%,11
"Tamiyo, Collector of Tales",18.18%,-6.19%,11
Freed from the Real,16.67%,-7.71%,18
Zur the Enchanter,16.67%,-7.71%,18
Sylvan Library,15.79%,-8.58%,19
Mana Drain,15.79%,-8.58%,19
Carpet of Flowers,15.38%,-8.99%,13
Geier Reach Sanitarium,15.38%,-8.99%,13
Rest in Peace,15.38%,-8.99%,13
Serra's Sanctum,15.38%,-8.99%,13
Sanctum Weaver,15.38%,-8.99%,13
Reflecting Pool,15.38%,-8.99%,13
Witness Protection,15.38%,-8.99%,13
Calamity's Wake,15.38%,-8.99%,13
Faerie Mastermind,15.38%,-8.99%,13
"Sigarda, Font of Blessings",15.38%,-8.99%,13
Elven Chorus,15.38%,-8.99%,13
"Kalain, Reclusive Painter",14.29%,-10.09%,14
"Ruby, Daring Tracker",13.33%,-11.04%,15
Elves of Deep Shadow,12.50%,-11.87%,24
"Olivia, Mobilized for War",10.00%,-14.37%,10
Endurance,7.14%,-17.23%,14
